day,day_index,hour,predicted_profit
Mon,0,0,28.94261
Mon,0,1,30.656403
Mon,0,2,32.367477
Mon,0,3,34.078552
Mon,0,4,34.37504
Mon,0,5,31.775246
Mon,0,6,29.175463
Mon,0,7,27.614595
Mon,0,8,27.546494
Mon,0,9,27.502682
Mon,0,10,27.458866
Mon,0,11,27.418083
Mon,0,12,27.400272
Mon,0,13,27.382465
Mon,0,14,27.36399
Mon,0,15,27.345467
Mon,0,16,27.326939
Mon,0,17,27.308416
Mon,0,18,27.289894
Mon,0,19,27.271372
Mon,0,20,27.253761
Mon,0,21,27.249609
Mon,0,22,27.324379
Mon,0,23,27.407665
Tue,1,0,27.735376
Tue,1,1,29.730791
Tue,1,2,31.724789
Tue,1,3,33.71879
Tue,1,4,35.540733
Tue,1,5,33.174206
Tue,1,6,30.574472
Tue,1,7,28.033705
Tue,1,8,27.68059
Tue,1,9,27.663017
Tue,1,10,27.645424
Tue,1,11,27.627613
Tue,1,12,27.609804
Tue,1,13,27.594164
Tue,1,14,27.579107
Tue,1,15,27.564255
Tue,1,16,27.55085
Tue,1,17,27.537443
Tue,1,18,27.524044
Tue,1,19,27.510637
Tue,1,20,27.497234
Tue,1,21,27.483831
Tue,1,22,27.478775
Tue,1,23,27.518806
Wed,2,0,26.251865
Wed,2,1,28.246681
Wed,2,2,30.249483
Wed,2,3,32.280212
Wed,2,4,34.335304
Wed,2,5,33.17348
Wed,2,6,30.91771
Wed,2,7,28.661936
Wed,2,8,27.386366
Wed,2,9,27.585545
Wed,2,10,27.784725
Wed,2,11,27.887093
Wed,2,12,27.874634
Wed,2,13,27.862038
Wed,2,14,27.84935
Wed,2,15,27.836657
Wed,2,16,27.82397
Wed,2,17,27.810617
Wed,2,18,27.797218
Wed,2,19,27.783808
Wed,2,20,27.770409
Wed,2,21,27.757004
Wed,2,22,27.7436
Wed,2,23,27.745539
Thu,3,0,24.967083
Thu,3,1,27.026556
Thu,3,2,29.086027
Thu,3,3,31.142048
Thu,3,4,33.197136
Thu,3,5,33.289577
Thu,3,6,31.033804
Thu,3,7,28.778038
Thu,3,8,26.544394
Thu,3,9,26.638144
Thu,3,10,26.837322
Thu,3,11,27.036499
Thu,3,12,27.235683
Thu,3,13,27.434858
Thu,3,14,27.634039
Thu,3,15,27.83318
Thu,3,16,28.032125
Thu,3,17,28.083378
Thu,3,18,28.070385
Thu,3,19,28.056984
Thu,3,20,28.043581
Thu,3,21,28.030176
Thu,3,22,28.02269
Thu,3,23,28.077982
Fri,4,0,23.86388
Fri,4,1,25.90502
Fri,4,2,27.946156
Fri,4,3,29.998
Fri,4,4,32.057472
Fri,4,5,33.405678
Fri,4,6,31.149906
Fri,4,7,28.89413
Fri,4,8,26.638357
Fri,4,9,25.69074
Fri,4,10,25.88992
Fri,4,11,26.0891
Fri,4,12,26.288279
Fri,4,13,26.487461
Fri,4,14,26.686636
Fri,4,15,26.885815
Fri,4,16,27.084995
Fri,4,17,27.284176
Fri,4,18,27.48319
Fri,4,19,27.682129
Fri,4,20,27.88078
Fri,4,21,28.096565
Fri,4,22,28.368525
Fri,4,23,28.49788
Sat,5,0,23.11199
Sat,5,1,25.128689
Sat,5,2,27.163427
Sat,5,3,29.198574
Sat,5,4,31.241241
Sat,5,5,33.287704
Sat,5,6,31.570404
Sat,5,7,29.304873
Sat,5,8,27.045914
Sat,5,9,24.998043
Sat,5,10,25.162949
Sat,5,11,25.365692
Sat,5,12,25.568434
Sat,5,13,25.771172
Sat,5,14,25.979496
Sat,5,15,26.188372
Sat,5,16,26.401876
Sat,5,17,26.619923
Sat,5,18,26.849295
Sat,5,19,27.078663
Sat,5,20,27.311989
Sat,5,21,27.594406
Sat,5,22,27.937214
Sat,5,23,28.280022
Sun,6,0,23.351494
Sun,6,1,25.353504
Sun,6,2,27.35776
Sun,6,3,29.378279
Sun,6,4,31.419466
Sun,6,5,33.463787
Sun,6,6,32.997414
Sun,6,7,30.730871
Sun,6,8,28.464329
Sun,6,9,26.196028
Sun,6,10,25.255888
Sun,6,11,25.349731
Sun,6,12,25.525568
Sun,6,13,25.710058
Sun,6,14,25.912344
Sun,6,15,26.125046
Sun,6,16,26.337753
Sun,6,17,26.55046
Sun,6,18,26.763163
Sun,6,19,26.978918
Sun,6,20,27.237648
Sun,6,21,27.564737
Sun,6,22,27.89182
Sun,6,23,28.218077
